video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task1_pi0_200.webm,task1,pi0,200,rollout,1,1,1,120.5,148.5,28.0,,,
task1_pi0_200.webm,task1,pi0,200,rollout,1,2,2,317.75,345.5,27.75,,,
task1_pi0_200.webm,task1,pi0,200,rollout,2,1,3,519.0,560.0,41.0,,,
task1_pi0_200.webm,task1,pi0,200,rollout,2,2,4,707.25,755.0,47.75,,,
task1_pi0_200.webm,task1,pi0,200,rollout,3,1,5,917.0,952.5,35.5,,,
task1_pi0_200.webm,task1,pi0,200,rollout,3,2,6,1107.25,1162.25,55.0,,,
task1_pi0_200.webm,task1,pi0,200,rollout,4,1,7,1313.0,1341.0,28.0,,,
task1_pi0_200.webm,task1,pi0,200,rollout,4,2,8,1504.75,1597.0,92.25,,,
task1_pi0_200.webm,task1,pi0,200,rollout,5,1,9,1740.5,1771.75,31.25,,,
task1_pi0_200.webm,task1,pi0,200,rollout,5,2,10,1921.25,1961.5,40.25,,,
