video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_pi0_100.webm,task2,pi0,100,rollout,1,1,1,0.5,104.75,104.25,,,
task2_pi0_100.webm,task2,pi0,100,rollout,1,2,2,303.25,368.0,64.75,,,
task2_pi0_100.webm,task2,pi0,100,rollout,2,1,3,437.75,493.75,56.0,,,
task2_pi0_100.webm,task2,pi0,100,rollout,2,2,4,524.5,587.75,63.25,,,
task2_pi0_100.webm,task2,pi0,100,rollout,3,1,5,812.5,877.75,65.25,,,
task2_pi0_100.webm,task2,pi0,100,rollout,3,2,6,1060.25,1121.25,61.0,,,
task2_pi0_100.webm,task2,pi0,100,rollout,4,1,7,1159.5,1242.5,83.0,,,
task2_pi0_100.webm,task2,pi0,100,rollout,4,2,8,1395.0,1460.25,65.25,,,
task2_pi0_100.webm,task2,pi0,100,rollout,5,1,9,1633.75,1804.5,170.75,,,
task2_pi0_100.webm,task2,pi0,100,rollout,5,2,10,1911.75,1977.5,65.75,,,
