video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task1_pi0_50.webm,task1,pi0,50,rollout,1,1,1,177.0,200.75,23.75,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,1,2,2,363.75,392.25,28.5,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,2,1,3,606.0,629.0,23.0,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,2,2,4,777.75,804.25,26.5,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,3,1,5,995.0,1021.0,26.0,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,3,2,6,1178.5,1203.25,24.75,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,4,1,7,1380.25,1425.5,45.25,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,4,2,8,1642.25,1668.0,25.75,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,5,1,9,1853.25,1888.25,35.0,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,5,2,10,2033.0,2074.5,41.5,,,판정 보류 -- 사람 확인 필요
task1_pi0_50.webm,task1,pi0,50,rollout,6,1,11,2205.5,2230.25,24.75,,,판정 보류 -- 사람 확인 필요
