video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task1_act_50.webm,task1,act,50,rollout,1,1,1,38.75,75.25,36.5,,,
task1_act_50.webm,task1,act,50,rollout,1,2,2,139.25,160.0,20.75,,,
task1_act_50.webm,task1,act,50,rollout,2,1,3,208.25,263.75,55.5,,,
task1_act_50.webm,task1,act,50,rollout,2,2,4,304.25,425.25,121.0,,,
task1_act_50.webm,task1,act,50,rollout,3,1,5,479.5,506.5,27.0,,,
task1_act_50.webm,task1,act,50,rollout,3,2,6,566.5,589.5,23.0,,,
task1_act_50.webm,task1,act,50,rollout,4,1,7,653.0,678.25,25.25,,,
task1_act_50.webm,task1,act,50,rollout,4,2,8,748.5,779.5,31.0,,,
