video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task3_pi0_50.webm,task3,pi0,50,rollout,1,1,1,231.0,258.75,27.75,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,1,2,2,424.75,447.25,22.5,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,2,1,3,606.75,635.0,28.25,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,2,2,4,797.5,824.5,27.0,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,3,1,5,981.25,1007.25,26.0,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,3,2,6,1159.5,1185.25,25.75,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,4,1,7,1378.0,1605.25,227.25,,,판정 보류 -- 사람 확인 필요
task3_pi0_50.webm,task3,pi0,50,rollout,4,2,8,1765.5,2230.5,465.0,,,판정 보류 -- 사람 확인 필요
