video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task3_act_50.webm,task3,act,50,rollout,1,1,1,42.75,70.75,28.0,,,
task3_act_50.webm,task3,act,50,rollout,1,2,2,125.0,151.25,26.25,,,
task3_act_50.webm,task3,act,50,rollout,2,1,3,208.75,233.5,24.75,,,
task3_act_50.webm,task3,act,50,rollout,2,2,4,292.5,317.75,25.25,,,
task3_act_50.webm,task3,act,50,rollout,3,1,5,372.75,398.25,25.5,,,
task3_act_50.webm,task3,act,50,rollout,3,2,6,460.75,486.25,25.5,,,
task3_act_50.webm,task3,act,50,rollout,4,1,7,580.75,606.75,26.0,,,
task3_act_50.webm,task3,act,50,rollout,4,2,8,703.5,753.5,50.0,,,
task3_act_50.webm,task3,act,50,rollout,5,1,9,794.75,822.0,27.25,,,
task3_act_50.webm,task3,act,50,rollout,5,2,10,888.5,915.0,26.5,,,
