video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task2_pi0_200.webm,task2,pi0,200,rollout,1,1,1,0.25,57.5,57.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,1,2,2,77.25,124.5,47.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,2,1,3,133.0,211.0,78.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,2,2,4,278.5,338.75,60.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,3,1,5,357.5,403.25,45.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,3,2,6,412.5,491.75,79.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,4,1,7,507.75,562.0,54.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,4,2,8,572.0,717.25,145.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,5,1,9,732.25,793.25,61.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,5,2,10,831.5,908.25,76.75,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,6,1,11,945.75,979.75,34.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,6,2,12,1143.0,1207.5,64.5,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,7,1,13,1314.25,1377.75,63.5,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,7,2,14,1442.25,1500.75,58.5,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,8,1,15,1514.25,1553.25,39.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,8,2,16,1561.75,1642.0,80.25,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,9,1,17,1668.0,1710.0,42.0,,,판정 보류 -- 사람 확인 필요
task2_pi0_200.webm,task2,pi0,200,rollout,9,2,18,1769.5,1794.75,25.25,,,판정 보류 -- 사람 확인 필요
