video,task,model,dataset_size,kind,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task3_pi0_200.webm,task3,pi0,200,rollout,1,1,1,54.75,89.0,34.25,,,
task3_pi0_200.webm,task3,pi0,200,rollout,1,2,2,158.0,193.5,35.5,,,
task3_pi0_200.webm,task3,pi0,200,rollout,2,1,3,255.0,294.0,39.0,,,
task3_pi0_200.webm,task3,pi0,200,rollout,2,2,4,369.75,402.75,33.0,,,
task3_pi0_200.webm,task3,pi0,200,rollout,3,1,5,465.25,498.0,32.75,,,
task3_pi0_200.webm,task3,pi0,200,rollout,3,2,6,569.5,604.25,34.75,,,
task3_pi0_200.webm,task3,pi0,200,rollout,4,1,7,669.25,703.5,34.25,,,
task3_pi0_200.webm,task3,pi0,200,rollout,4,2,8,833.25,878.0,44.75,,,
task3_pi0_200.webm,task3,pi0,200,rollout,5,1,9,968.0,1004.25,36.25,,,
task3_pi0_200.webm,task3,pi0,200,quick_return,5,2,10,1017.25,1027.0,9.75,,,
