video,task,model,dataset_size,kind,truncated,trial_index,attempt_in_trial,attempt_index,start_s,end_s,duration_s,success,failure_mode,notes
task1_act_200.webm,task1,act,200,rollout,yes,1,1,1,1.0,60.25,59.25,,,
task1_act_200.webm,task1,act,200,rollout,,1,2,2,119.5,141.5,22.0,,,
task1_act_200.webm,task1,act,200,rollout,,2,1,3,205.25,325.0,119.75,,,
task1_act_200.webm,task1,act,200,rollout,,2,2,4,421.75,447.25,25.5,,,
task1_act_200.webm,task1,act,200,rollout,,3,1,5,528.0,552.25,24.25,,,
task1_act_200.webm,task1,act,200,rollout,,3,2,6,625.0,645.25,20.25,,,
task1_act_200.webm,task1,act,200,rollout,,4,1,7,700.25,727.0,26.75,,,
task1_act_200.webm,task1,act,200,rollout,,4,2,8,777.25,801.25,24.0,,,
task1_act_200.webm,task1,act,200,rollout,yes,5,1,9,861.75,911.25,49.5,,,
